Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1930,12.89,12.42,13.75,24.95,56.31,155.25,291.04,179.44,164.5,100.12,40.09,,
1931,5.97,16.08,14.27,32.1,46.1,116.25,318.59,274.2,199.47,111.64,40.5,,
1932,4.07,12.98,13.28,31.3,64.68,128.1,337.39,228.94,168.83,76.12,46.32,,
1933,9.95,14.77,12.96,36.37,85.24,188.76,279.44,345.11,210.73,95.92,19.54,,
1934,19.52,7.72,13.54,26.92,50.96,168.81,281.38,299.29,186.36,67.61,29.75,,
1935,22.12,13.26,8.02,33.54,26.67,155.72,306.45,254.79,176.81,57.05,14.25,,
1936,5.13,26.68,20.99,24.78,72.2,228.5,272.19,222.89,197.24,72.77,48.24,,
1937,3.07,33.71,16.4,48.59,52.22,153.34,310.99,191.57,184.65,96.12,18.17,,
1938,20.07,13.47,12.86,22.63,62.24,232.41,289.4,266.26,155.18,72.43,13.69,,
1939,10.48,14.14,21.3,25.36,37.32,146.92,273.83,244.18,141.81,90.91,29.83,,
1940,9.64,18.51,29.78,35.09,67.29,183.82,287.09,291.96,122.93,69.04,36.54,,
1941,18.81,11.07,11.7,30.06,59.51,162.13,253.95,217.52,144.08,63.85,21.54,,
1942,15.24,24.98,11.41,38.94,48.66,147.91,351.52,305.13,184.57,36.37,11.02,,
1943,28.04,7.6,13.34,49.07,66.1,141.29,301.22,218.84,192.9,98.15,18.41,,
1944,21.16,26.15,42.23,30.6,38.37,152.62,335.03,295.44,148.25,89.99,25.7,,
1945,24.93,6.21,7.28,39.42,48.63,147.44,335.86,245.11,208.63,80.62,18.15,,
1946,2.57,13.19,15.5,39.35,59.55,181.79,301.74,295.33,140.98,82.14,63.08,,
1947,18.12,12.79,21.38,27.2,45.17,120.33,309.47,306.38,254.75,69.14,6.3,,
1948,22.24,18.83,19.67,39.32,64.66,140.22,301.29,274.47,168.79,64.9,57.76,,
1949,8.19,13.08,13.33,38.65,72.4,146.49,322.3,252.57,221.41,92.84,9.14,,
1950,13.1,16.63,24.46,13.82,43.74,134.21,334.08,239.45,190.33,54.5,22.82,,
1951,9.8,4.32,29.54,37.72,54.14,148.83,285.87,231.13,137.51,75.17,29.71,,
1952,7.11,12.97,21.3,32.93,57.27,154.19,262.83,229.15,113.21,77.56,6.83,,
1953,21.38,6.76,12.16,35.49,38.88,173.88,302.58,283.3,171.04,91.37,10.01,,
1954,17.92,20.35,14.53,25.29,48.74,161.64,306.18,261.03,228.2,76.78,2.46,,
1955,18.23,4.34,18.71,33.54,63.23,159.38,255.17,321.45,226.78,132.01,24.57,,
1956,13.73,7.06,20.36,30.24,73.33,207.75,349.36,268.99,183.39,128.93,42.37,,
1957,25.14,6.76,22.38,26.72,48.85,148.26,282.01,264.59,112.85,64.7,25.08,,
1958,12.03,9.18,13.01,34.27,52.37,97.72,325.74,297.22,200.67,95.81,32.79,,
1959,21.81,10.64,12.41,32.95,69.03,180.4,338.52,264.18,223.5,110.51,22.4,,
1960,12.86,2.67,24.26,18.15,49.62,135.59,310.71,228.37,160.16,66.85,32.29,,
1961,23.6,20.82,9.29,21.74,66.02,195.31,315.81,286.32,213,112.93,14.75,,
1962,15.93,15.28,15.92,35.16,59.41,118.47,294.54,259.71,231.77,79.76,16.1,,
1963,8.85,7.78,22.11,38.42,46.61,150.01,273.12,299.01,168.75,103.52,19.95,,
1964,5.09,7.04,11.77,28.51,48.99,139.82,348.3,293.75,201.67,72.93,24.86,,
1965,8.05,12.43,15.63,29.11,35.75,111.98,306.26,226.87,136.12,34.62,17.09,,
1966,14.77,9.67,9.69,16.72,51.4,151.35,267.82,217.69,157.28,57.56,53.96,,
1967,10.41,4.9,46.66,24.64,38.23,160.94,318.09,258.63,158.98,43.94,12.16,,
1968,16.49,13.91,22.15,34.9,40.14,162.57,272.2,201.71,145.56,72.28,18.71,,
1969,6.48,5.48,16.8,27.01,52.09,120.12,329.25,247.84,178.02,57.12,32.92,,
1970,18.06,15.79,21.89,24.42,60.09,213.8,253.03,327.79,225.78,79.71,16.36,,
1971,11.41,13.08,10.78,36.38,68.82,207.47,234.97,279.11,163.42,97.1,13.81,,
1972,5.65,15.48,9.15,23.45,44.98,112.4,206.75,213.19,133.98,67.48,25.74,,
1973,12.34,11.98,13.57,20.51,65.27,151.42,308.33,304.11,179.44,118.39,17.36,,
1974,5.04,5.22,18.09,25.1,66.49,127.8,271.61,229.06,147.45,114.18,8.93,,
1975,12.52,12.92,18.79,18.46,54.59,185.61,304.58,272.95,257.45,115.29,22.14,,
1976,8.3,11.4,12.25,28.56,46.5,163.57,291.5,292.94,156.15,35.36,51.62,,
1977,11.67,8.63,11.77,52.69,79.98,191.12,302.47,238.85,148.63,91.71,61.17,,
1978,8.66,23.38,25.67,31.05,63.51,200.67,283.52,284.09,167.87,54.79,41.78,,
1979,16.54,27.67,11.19,22.73,46.92,156.79,234.91,246.44,158.69,51.47,63.21,,
1980,6.44,10.76,18,23.07,54.9,193.22,292.91,273.94,123.41,47.64,21.44,,
1981,20.72,8.59,34.1,35.36,64.94,142.82,319.13,253.92,204.78,52.51,22.46,,
1982,17.44,11.22,25.78,38.18,52.07,128.74,250.82,246.21,132.02,50.98,42.83,,
1983,11.92,12.4,18.95,28.01,63.77,152.79,305,293.46,222.19,94.99,10.81,,
1984,17.29,21.04,12.59,36.44,45.96,146.52,290.02,245.52,157.82,60.85,11.33,,
1985,16.51,5.95,14.27,27.48,55.82,129.78,290.74,241.93,142.72,114.52,16.84,,
1986,11.49,18.27,12,31.59,52.54,151.97,256.5,241.91,133.26,65.73,39.95,,
1987,11.22,10.64,22.28,32.68,46.76,120.76,208.84,274.18,122.29,85.95,25.29,,
1988,4.57,11.77,23.35,39.78,58.37,166.4,354.92,283.73,230.8,49.68,20.87,,
1989,14.7,6.41,22.48,19.33,46.18,152.33,298.3,232.41,157.9,58.81,15.52,,
1990,6.29,27.74,28.94,28.16,85.53,179.54,285.45,301.58,173.05,86.77,25.31,,
1991,12.2,12.26,14.7,31.72,52.32,175.95,255.15,234,139.25,65.58,28.59,,
1992,13.59,14.1,11.37,15.74,51.26,104.92,218.17,254.1,175.54,68.84,33.44,,
1993,7.86,12.86,21.85,22.92,62.17,149.47,288.04,192.12,189.42,82.94,23.14,,
1994,20.93,16.09,14.12,35.47,42.07,162.14,334.13,265.94,149.81,90.55,19.43,,
1995,24.75,15.43,23.12,21.68,55.51,137.08,319.03,253.15,184.3,81.55,24.43,,
1996,16.35,12.32,16.2,30.77,39.44,166.75,278.54,271.18,148.74,105.18,14.43,,
1997,11.83,5.27,19.27,40.09,39.16,134.57,267.89,282.7,161.77,67.69,57.35,,
1998,8.02,17.1,23.96,34.01,51.5,137.37,294.86,266.45,193.59,107.38,40.34,,
1999,10.35,13.43,4.83,17.28,69.58,136.33,265.41,229.03,184.64,111.57,14.92,,
2000,9.74,18.03,10.37,31.72,75.54,164.75,289.32,237.03,131.83,50.85,14.22,,
2001,8.92,5.48,14.64,34.52,71.08,190.64,259.89,218.93,101.98,93.02,18.65,,
2002,12.36,12.49,12.34,28.5,49.94,154.33,154.08,253.05,128.47,71.7,24.73,,
2003,8.37,25.46,18.39,28.74,27.91,144.4,304.97,217.42,156.97,97.23,14.96,,
2004,15.38,5.03,8.31,33.61,59.23,150,230.07,260.68,135.92,108.66,16.4,,
2005,16.18,13.34,25.51,31.19,44.12,128.86,290.72,209.38,225.9,98.65,21.16,,
2006,5.96,5.54,35,35.28,75.46,137.62,314.51,271.1,192.41,79.93,31.97,,
2007,2.44,29.42,17.77,33.52,46.36,159.64,288.53,259.22,212.8,54.94,21.17,,
2008,12.54,12.06,19.3,31.04,46.55,210.19,259.66,292.35,172.72,62.47,28.28,,
2009,6.04,6.71,12.17,16.9,59.45,94.53,291.88,211.55,163.34,71.71,52.25,,
2010,7.49,8.85,10.86,33.85,55.43,141.1,303.62,299.74,227.33,91.1,52.64,,
2011,4.5,19.59,10.46,30.82,47.41,180.17,269.5,302.67,204.27,47.17,18.94,,
2012,20.24,4.59,7.39,37.67,31.17,102.95,266.21,275.86,226.38,59.84,24.04,,
2013,7.62,23.55,13.57,28.73,48.22,229.72,347.61,252.53,161.08,113.9,21.08,,
2014,16.57,20.99,20.49,21.26,58.64,107.32,282.04,227.32,211.02,75.17,15.5,,
2015,16.29,11.95,34.02,50.99,51.8,185.12,264.37,252.07,156.85,48.28,41.11,,
2016,8.69,9.05,22.16,23.09,66.75,153.62,338.91,252.19,165.14,57.08,10.18,,
2017,13.36,6.35,19.09,37.04,49.51,159.55,321.55,251.84,175.53,90.71,22.35,,
2018,3.04,6.04,10.62,33.22,52.52,155.41,304.57,230.57,149.88,45.87,17.25,,
2019,11.97,16.8,11.37,27.03,47.25,122.75,325.33,321.4,280.21,118.95,25.56,,
2020,22.59,10.13,25.58,42.91,56.75,160.02,264.57,312.87,206.93,92.44,25.31,,
2021,15.65,5.16,16.57,26.14,67,161.84,309.07,214.81,222.42,106.03,51.23,,
