Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1965,18.14,19.5,23.25,26.84,29.86,29.86,27.07,26.46,26.2,25.21,21.57,,
1966,17.77,21.1,23.98,27.96,30.19,29.31,27.84,26.61,26.15,24.96,21.59,,
1967,16.9,20.55,23.04,27.23,30.01,29.58,27.19,26.16,25.93,24.44,20.67,,
1968,16.55,18.57,23.63,27.13,29.51,29.34,27.13,26.51,26.85,24.41,21.07,,
1969,17.26,20.11,25.44,28.25,29.72,29.79,27.19,26.37,26.12,25.21,22.06,,
1970,17.56,19.71,23.82,28.6,30.67,28.4,27.26,26.38,26.12,24.96,20.4,,
1971,16.92,19.42,23.58,27.98,29.12,27.8,26.58,26.05,26.14,24.34,20.32,,
1972,17.25,18.04,24.16,27.46,30.46,30.33,27.69,26.58,26.24,24.76,21.07,,
1973,17.62,20.69,23.99,29.4,30.84,29.58,27.18,26.21,26.17,24.52,20.53,,
1974,16.73,19.02,24.8,28.69,29.73,29.22,27.26,26.6,26.71,25.07,20.48,,
1975,16.44,19.26,23.61,28.3,30.45,28.81,26.53,26.34,25.71,25.05,19.92,,
1976,17.17,19.67,23.98,27.43,29.78,28.76,27.11,25.93,25.88,25.17,22.41,,
1977,17.09,20.02,25.38,27.8,28.96,28.93,26.93,26.47,26.13,24.99,22.48,,
1978,16.73,19.14,22.86,27.88,31.01,29.12,26.55,26.2,26.14,25.13,21.92,,
1979,18.01,19.01,23.21,28.44,29.67,30.05,27.72,26.79,26.61,25.49,22.66,,
1980,17.74,20.47,24.03,29.14,31,28.85,27.07,26.47,26.69,25.3,21.65,,
1981,17.21,20.21,23.59,28.04,30.04,29.92,27.01,26.54,26.63,24.98,20.5,,
1982,18.02,19.3,22.83,27.35,29.19,29.44,28.1,26.57,26.55,25.32,21.31,,
1983,17.1,19.21,23.62,26.74,29.61,29.92,27.67,26.76,26.43,24.43,20.35,,
1984,17.13,18.6,24.82,28.3,31.08,29.28,26.8,26.28,25.69,24.75,20.52,,
1985,17.75,19.97,25.59,28.44,30.51,29.22,26.78,26.52,26.48,24.1,21.02,,
1986,17.42,19.6,24.07,28.01,29.68,29.37,26.99,26.39,26.63,24.93,21.78,,
1987,17.71,20.25,24.13,28.32,29.09,30.23,27.97,27.14,27.33,25.43,21.89,,
1988,18.57,20.94,24.25,28.54,31.12,29.53,27.03,26.63,26.79,24.86,21.14,,
1989,16.84,19.43,23.56,27.84,30.38,28.74,27.02,26.38,26.48,25.06,21.47,,
1990,18.69,19.94,23.1,27.87,29.63,28.93,26.71,26.53,26.32,24.45,21.79,,
1991,17.06,20.35,24.47,27.68,30.39,29.02,27.67,26.39,26.55,24.8,21.12,,
1992,17.26,18.87,24.27,27.88,29.71,29.94,27.64,26.32,26,24.84,21.27,,
1993,17.72,20.48,23.08,27.68,30.46,29.96,27.33,26.89,26.27,25.22,21.63,,
1994,18.25,19.48,25.17,27.36,30.72,29.26,26.64,26.32,26.19,24.74,21.24,,
1995,16.49,19.99,23.6,27.54,30.14,30.7,27.5,26.86,26.64,25.5,21.52,,
1996,18.11,20.37,25.32,28.06,30.47,29.43,27.49,26.18,26.55,24.63,21.23,,
1997,16.91,19.22,24.31,26.55,29.34,29.11,27.6,26.67,26.38,24.24,21.78,,
1998,17.73,20.26,23.58,28.51,31.14,30.44,27.65,27.13,26.79,25.68,21.91,,
1999,17.21,20.95,25.06,29.21,29.97,28.98,27.26,26.64,26.59,25.34,22.06,,
2000,18.06,19.25,23.72,29.19,30.18,28.81,27.06,26.87,26.57,25.95,22.22,,
2001,17.85,20.85,24.56,27.99,30.58,28.5,27.08,26.85,27.16,25.7,22.33,,
2002,17.72,20.44,25.01,29,31.13,29.62,28.21,26.65,26.38,25.57,21.91,,
2003,17.82,20.51,24.19,28.87,30.43,30.25,27.21,26.84,26.41,25.22,21.97,,
2004,17.62,20.24,26.15,29.2,30.22,28.94,27.7,26.59,27.06,24.61,21.84,,
2005,17.73,20.16,24.8,27.92,29.85,30.53,27.28,27.06,26.7,25.04,21.23,,
2006,18.25,21.98,24.13,27.92,30.58,29.3,27.46,26.59,26.78,25.71,22.18,,
2007,18.26,20.42,24.34,29.2,30.71,29.53,27.61,27.09,26.9,25.24,22.02,,
2008,17.8,19.1,25.24,28.03,30.24,28.65,27.27,26.5,26.56,25.6,22.24,,
2009,19.17,21.75,25.29,29.02,30.83,30.42,27.81,27.6,27.15,25.37,22.02,,
2010,17.78,20.92,26.4,30.18,31.25,30.02,27.71,27.12,26.62,25.92,22.81,,
2011,17.09,20.35,24.8,27.71,30.65,29.19,27.48,26.83,26.62,25.69,22.44,,
2012,17,19.85,24.47,28.33,30.8,30.44,27.75,26.68,26.6,24.96,21.38,,
2013,17.45,20.15,24.73,28.17,30.97,28.81,27,26.45,26.9,25.36,21.27,,
2014,17.77,19.46,23.74,28.18,29.95,30.7,27.99,27.24,26.59,25.52,22.07,,
2015,17.32,20.59,23.74,27.59,30.82,29.23,27.57,27.12,27.19,26.05,22.52,,
2016,18.24,21.51,25.57,29.38,30.78,30.03,27.39,26.98,26.86,25.48,21.58,,
2017,18.02,21.02,24.59,29.16,30.99,29.41,27.4,27.17,27.18,26.08,21.76,,
2018,18.03,21.11,25.41,28.6,30.67,29.65,27.32,26.87,26.6,25.55,22.1,,
2019,17.45,20,24.13,29.07,30.77,30.81,27.96,26.97,26.72,25.09,22.34,,
2020,17.28,20.31,23.85,28.05,30.39,29.06,28.03,27.04,27.38,26.02,21.59,,
2021,18.32,20.96,25.55,28.34,29.61,28.87,27.86,27.26,26.85,25.8,21.89,,
